Pclass,Age,SibSp,Parch,Fare,DistanceToEvacuationBoats,Speed,Survived
3,20.25867559566747,5,1,486.21688591683267,90.77860126421977,8.425838219746566,0
2,33.07827301517541,7,6,454.54695636011013,59.22968500824631,1.1544498898938982,0
3,60.546759605255815,0,0,137.27306703424898,35.086802845361326,15.19587300605384,0
3,18.627758009823314,7,3,12.759401927225069,70.84730143876166,14.548215555275918,0
1,6.546061224175346,3,4,478.2522081962979,48.218532097615125,25.025458956843785,1
3,23.47842062287766,0,3,259.02722114503644,37.86096025321322,9.579428573245957,0
1,13.249990039673671,7,0,278.4643663388317,70.53792799323632,24.58337918878534,0
3,74.40533917342196,3,5,351.7696310848575,24.947543027585766,29.05522608047478,1
3,64.7302198057363,5,5,317.2365403456863,33.092227649007945,3.108042589286574,0
1,50.8262709430995,7,3,483.5530435123039,43.50173926437831,23.85862626435417,1
1,69.77083376713857,3,2,483.7355597424599,25.44284916992656,17.903698965560263,1
3,64.37622387963152,2,6,444.6698593123869,40.57968846946357,14.661356027045017,0
2,15.267245286150732,8,6,327.65662390512773,57.19015521798057,12.905805470619715,0
1,71.44984509983243,2,3,411.08129240397665,74.12328870497576,23.64771378635713,0
2,43.340855611647484,8,1,348.32434958817174,76.74276582554631,19.361160030740148,0
2,64.6760875479561,1,1,295.6970901276702,82.29675615248165,24.248817691821177,0
2,71.7309456479116,1,6,70.14967908959247,74.44674452863546,27.142956230960475,0
1,25.726716538260927,1,6,416.28051760515353,68.13583876698121,18.709279506870114,0
2,9.177932153912517,5,5,421.0642142021854,23.826896482117746,29.42365039022515,1
1,18.55908023508772,2,2,322.3514127414974,40.08226699791528,18.438591561485612,0
2,34.40923781887748,8,0,420.9564097920329,47.82371759893475,19.281007487857337,0
3,65.517615072112,3,1,335.3027793318985,8.380843037166088,16.867060451995656,1
3,68.9169398155398,0,6,109.7889704575099,52.8841751175912,3.184561686014243,0
1,0.9732505476721561,3,5,143.89829155181482,43.68994957749494,21.928712463181732,0
3,41.06527033912268,0,4,113.79668369214569,80.23071397777073,16.64966605352379,0
3,33.63756763057983,4,5,196.27035519658375,97.79227680855166,13.801858198775081,0
2,18.09533955726071,3,1,24.75430808128845,55.6449033603942,27.358902712896555,1
1,9.958885932414477,7,1,318.4547193593117,32.33637018893061,9.289803820487538,0
2,27.28741534030071,7,5,175.63298694858435,4.435738251487459,15.94626714244283,1
2,75.45675423735827,6,0,337.45137613803627,92.47186868933724,21.080435209057168,0
2,26.1404893302117,2,3,200.39608682954147,91.91965995633808,23.99591738237938,0
2,41.70535767833707,0,1,350.5781301692044,25.37371778212519,14.050730834412088,1
2,56.36624874887825,0,5,177.6966567183697,69.57157119835409,25.341696743051934,0
2,29.357643757344213,2,6,137.17212581560287,7.63591125426795,23.183073368804227,1
2,77.75441814293404,5,5,256.49098932675696,16.704921647734366,2.453961346630043,1
1,77.0115557314932,6,2,356.29541185681325,21.759229747990474,1.852907358936672,1
3,20.456835101782477,5,3,181.60665845777106,29.519945289259045,18.81376769045169,1
2,39.991036098916034,5,4,479.8806129908436,99.58355436543414,10.74869554264972,0
2,24.36389589521853,5,0,24.867467624552653,69.7228130807951,6.669358336816169,0
2,23.087606542558873,2,4,216.89863807979842,38.481762954784074,17.59967306691628,0
2,3.3554632704737197,5,3,495.5633396207655,73.73636051371763,10.576114708468078,0
2,48.92912969812019,7,3,282.82174480678026,91.53390873274373,16.349270793065067,0
2,40.4231966685528,1,3,219.6997677502161,95.87437050004384,14.073515190015375,0
3,4.516679024474152,4,4,293.2397838612289,5.880603385994969,17.750600125500032,1
3,22.594685623949538,0,6,296.9937596558489,39.512727680952175,12.3088644228533,0
2,72.6997992052263,0,3,375.9454119369176,10.76493098699485,21.08119342405949,1
3,19.484335259277664,4,5,69.73869281719006,33.632440473216626,5.811984534304306,1
1,11.950733921019534,2,4,131.75833975256506,17.051022399166996,21.04679325369883,1
2,39.370650662888465,3,3,299.3358142583623,64.72015133070552,12.64400582354708,0
1,78.85806313812161,2,5,444.6281198553291,38.88801156058823,26.292369343205305,1
1,19.682758506885204,0,6,289.86641291689324,23.01653509592447,15.699463618494221,1
2,53.90854686255982,0,2,125.96860791370247,26.667198703927472,29.20675530346808,1
3,61.029688987859345,4,6,349.68130340942463,36.0984750110063,18.257094168458327,1
1,19.331195750915164,5,3,380.1337415468189,26.068991299140844,7.103547444236457,0
2,58.371457022531786,2,4,125.78572926881758,45.37876059820022,24.742823786911252,0
1,29.68818170179817,8,1,196.5085452913815,3.3283635158540816,10.67993752076041,1
1,50.73889799863706,4,3,275.90402907999567,28.04837436617768,10.754766827239164,1
1,50.836294382352,7,1,256.7565236763204,41.17955141513141,1.4382381038123713,0
1,43.05694935866928,0,5,202.53636971313617,60.31791001412753,16.687101621618556,0
3,7.605259900929813,4,2,155.90103347622062,27.168668487261478,16.265493360109428,1
1,66.89337259899156,2,0,55.69233779106473,13.405194009852595,11.00174878602359,1
1,25.947677570450736,0,6,32.11704545091604,7.712417921956399,26.87940925542981,1
1,15.263143057620399,3,2,490.98053891978157,94.0591295308248,4.2980777498394955,0
3,3.6648857649281124,4,3,434.501574056464,41.72224186807407,10.237935642649585,0
1,47.44326041892028,6,1,184.93693156459935,58.15814585596455,9.986691558060855,0
1,54.34057191540883,0,6,490.09804875911334,91.92573752837241,3.2225722937480095,0
